Date Registered,Date Watched,Onboarded,Paid,Student Country,Student Id,Minutes Watched
7/27/2022,8/1/2022,Yes,1,NG,282776,24.1
7/27/2022,8/17/2022,Yes,1,NG,282776,0.6
7/27/2022,8/18/2022,Yes,1,NG,282776,7.2
7/27/2022,9/3/2022,Yes,1,NG,282776,27.9
7/27/2022,9/4/2022,Yes,1,NG,282776,9.2
7/27/2022,9/5/2022,Yes,1,NG,282776,17.4
7/27/2022,9/26/2022,Yes,1,NG,282776,27.1
7/27/2022,9/27/2022,Yes,1,NG,282776,18.3
7/27/2022,9/29/2022,Yes,1,NG,282776,17.9
7/27/2022,10/8/2022,Yes,1,NG,282776,26
7/27/2022,9/30/2022,Yes,1,NG,282776,0.1
7/27/2022,9/7/2022,Yes,1,NG,282776,14.8
7/27/2022,9/9/2022,Yes,1,NG,282776,23.9
7/27/2022,9/10/2022,Yes,1,NG,282776,13.5
7/27/2022,9/21/2022,Yes,1,NG,282776,13.2
7/27/2022,7/27/2022,Yes,1,NG,282776,16
7/27/2022,7/28/2022,Yes,1,JP,282779,73.9
7/27/2022,8/6/2022,Yes,1,JP,282779,82.5
7/27/2022,8/7/2022,Yes,1,JP,282779,53.1
7/27/2022,8/16/2022,Yes,1,JP,282779,33.5
7/27/2022,8/8/2022,Yes,1,JP,282779,24.3
7/27/2022,8/9/2022,Yes,1,JP,282779,30.1
7/27/2022,8/24/2022,Yes,1,JP,282779,5.5
7/27/2022,8/10/2022,Yes,1,JP,282779,6.9
7/27/2022,8/11/2022,Yes,1,JP,282779,28.1
7/27/2022,8/18/2022,Yes,1,JP,282779,17
7/27/2022,8/23/2022,Yes,1,JP,282779,28.2
7/27/2022,7/30/2022,Yes,1,JP,282779,89
7/27/2022,8/5/2022,Yes,1,JP,282779,57.5
7/27/2022,7/27/2022,Yes,1,JP,282779,30.4
7/27/2022,7/27/2022,Yes,0,GB,282780,42.9
7/27/2022,7/28/2022,Yes,0,GB,282780,56.7
7/27/2022,7/29/2022,Yes,0,GB,282780,11.6
7/27/2022,8/4/2022,Yes,0,GB,282780,0.1
7/27/2022,7/27/2022,Yes,0,PH,282782,19.7
7/27/2022,7/28/2022,Yes,0,PH,282782,9.7
7/27/2022,7/27/2022,Yes,0,IN,282784,7.7
7/27/2022,7/28/2022,Yes,0,IN,282784,40.3
7/27/2022,7/27/2022,Yes,0,PE,282788,17
7/27/2022,7/27/2022,Yes,0,TR,282790,2.1
